                              Drapiezniki                Roslinozerne                Wszystkozerne
Po roku 0:               3121                             2121                                2121
Po roku 1:               3121                             2121                                2121
Po roku 2:               3121                             2121                                2121
Po roku 3:               3121                             2121                                2121
Po roku 4:               3121                             2121                                2120
Po roku 5:               3121                             2121                                2103
Po roku 6:               3121                             2121                                2065
Po roku 7:               3121                             2121                                2004
Po roku 8:               3119                             2121                                1913
Po roku 9:               3118                             2120                                1803
Po roku 10:               3110                             2119                                1642
Po roku 11:               3102                             2116                                1480
Po roku 12:               3088                             2110                                1301
Po roku 13:               3070                             2093                                1132
Po roku 14:               3044                             2064                                964
Po roku 15:               3016                             2025                                802
Po roku 16:               2984                             1985                                670
Po roku 17:               2958                             1931                                561
Po roku 18:               2925                             1874                                458
Po roku 19:               2894                             1800                                374
Po roku 20:               2866                             1730                                303
Po roku 21:               2838                             1645                                239
Po roku 22:               2803                             1550                                191
Po roku 23:               2773                             1465                                152
Po roku 24:               2740                             1372                                118
Po roku 25:               2719                             1282                                101
Po roku 26:               2687                             1191                                72
Po roku 27:               2663                             1112                                52
Po roku 28:               2634                             1026                                38
Po roku 29:               2611                             942                                27
Po roku 30:               2592                             851                                19
Po roku 31:               2573                             791                                17
Po roku 32:               2551                             714                                14
Po roku 33:               2536                             647                                12
Po roku 34:               2526                             588                                10
Po roku 35:               2512                             523                                6
Po roku 36:               2502                             460                                4
Po roku 37:               2496                             418                                2
Po roku 38:               2487                             362                                2
Po roku 39:               2484                             326                                2
Po roku 40:               2474                             282                                2
Po roku 41:               2467                             242                                2
Po roku 42:               2463                             218                                2
Po roku 43:               2456                             198                                2
Po roku 44:               2449                             168                                1
Po roku 45:               2445                             144                                1
Po roku 46:               2442                             123                                1
Po roku 47:               2436                             104                                0
Po roku 48:               2434                             97                                0
Po roku 49:               2433                             87                                0
Po roku 50:               2429                             81                                0
Po roku 51:               2427                             65                                0
Po roku 52:               2425                             57                                0
Po roku 53:               2425                             50                                0
Po roku 54:               2425                             41                                0
Po roku 55:               2425                             38                                0
Po roku 56:               2425                             26                                0
Po roku 57:               2425                             21                                0
Po roku 58:               2425                             16                                0
Po roku 59:               2425                             14                                0
Po roku 60:               2425                             13                                0
Po roku 61:               2425                             12                                0
Po roku 62:               2425                             12                                0
Po roku 63:               2425                             12                                0
Po roku 64:               2424                             10                                0
Po roku 65:               2424                             8                                0
Po roku 66:               2424                             7                                0
Po roku 67:               2424                             7                                0
Po roku 68:               2424                             6                                0
Po roku 69:               2424                             6                                0
Po roku 70:               2424                             5                                0
Po roku 71:               2424                             5                                0
Po roku 72:               2424                             5                                0
Po roku 73:               2424                             5                                0
Po roku 74:               2424                             4                                0
Po roku 75:               2424                             4                                0
Po roku 76:               2424                             4                                0
Po roku 77:               2424                             3                                0
Po roku 78:               2424                             3                                0
Po roku 79:               2424                             1                                0
Po roku 80:               2424                             1                                0
Po roku 81:               2424                             1                                0
Po roku 82:               2424                             0                                0
Po roku 83:               2424                             0                                0
Po roku 84:               2424                             0                                0
Po roku 85:               2424                             0                                0
Po roku 86:               2424                             0                                0
Po roku 87:               2424                             0                                0
Po roku 88:               2424                             0                                0
Po roku 89:               2424                             0                                0
Po roku 90:               2424                             0                                0
Po roku 91:               2424                             0                                0
Po roku 92:               2424                             0                                0
Po roku 93:               2424                             0                                0
Po roku 94:               2424                             0                                0
Po roku 95:               2424                             0                                0
Po roku 96:               2424                             0                                0
Po roku 97:               2424                             0                                0
Po roku 98:               2424                             0                                0
Po roku 99:               2424                             0                                0
Po roku 100:               2424                             0                                0
Po roku 101:               2424                             0                                0
Po roku 102:               2424                             0                                0
Po roku 103:               2424                             0                                0
Po roku 104:               2424                             0                                0
