                              Drapiezniki                Roslinozerne                Wszystkozerne
Po roku 0:               3000                             3000                                3000
Po roku 1:               3000                             3000                                3000
Po roku 2:               3000                             3000                                3000
Po roku 3:               3000                             3000                                3000
Po roku 4:               3000                             3000                                3000
Po roku 5:               3000                             3000                                3000
Po roku 6:               3000                             3000                                3000
Po roku 7:               3000                             3000                                3000
Po roku 8:               3000                             3000                                3000
Po roku 9:               3000                             3000                                3000
Po roku 10:               3000                             3000                                3000
Po roku 11:               3000                             3000                                3000
Po roku 12:               3000                             3000                                3000
Po roku 13:               3000                             3000                                2999
Po roku 14:               3000                             3000                                2997
Po roku 15:               3000                             3000                                2991
Po roku 16:               3000                             3000                                2986
Po roku 17:               3000                             3000                                2986
Po roku 18:               3000                             3000                                2980
Po roku 19:               2999                             3000                                2973
Po roku 20:               2998                             3000                                2964
Po roku 21:               2997                             3000                                2956
Po roku 22:               2995                             3000                                2941
Po roku 23:               2994                             3000                                2930
Po roku 24:               2993                             3000                                2915
Po roku 25:               2993                             3000                                2893
Po roku 26:               2992                             3000                                2880
Po roku 27:               2990                             2999                                2864
Po roku 28:               2988                             2999                                2837
Po roku 29:               2986                             2999                                2815
Po roku 30:               2980                             2999                                2779
Po roku 31:               2977                             2998                                2750
Po roku 32:               2975                             2997                                2722
Po roku 33:               2969                             2997                                2686
Po roku 34:               2955                             2996                                2648
Po roku 35:               2946                             2995                                2613
Po roku 36:               2939                             2995                                2577
Po roku 37:               2928                             2993                                2533
Po roku 38:               2921                             2992                                2494
Po roku 39:               2907                             2991                                2462
Po roku 40:               2890                             2989                                2415
Po roku 41:               2879                             2988                                2372
Po roku 42:               2859                             2987                                2329
Po roku 43:               2841                             2982                                2298
Po roku 44:               2826                             2979                                2250
Po roku 45:               2806                             2971                                2185
Po roku 46:               2783                             2966                                2124
Po roku 47:               2767                             2959                                2084
Po roku 48:               2750                             2950                                2042
Po roku 49:               2729                             2943                                1992
Po roku 50:               2702                             2932                                1939
Po roku 51:               2674                             2929                                1877
Po roku 52:               2657                             2925                                1811
Po roku 53:               2636                             2917                                1766
Po roku 54:               2616                             2910                                1719
Po roku 55:               2590                             2902                                1672
Po roku 56:               2565                             2889                                1623
Po roku 57:               2541                             2877                                1582
Po roku 58:               2511                             2856                                1526
Po roku 59:               2489                             2841                                1482
Po roku 60:               2467                             2828                                1438
Po roku 61:               2440                             2811                                1399
Po roku 62:               2413                             2801                                1357
Po roku 63:               2380                             2787                                1310
Po roku 64:               2361                             2774                                1268
Po roku 65:               2329                             2753                                1227
Po roku 66:               2303                             2740                                1187
Po roku 67:               2272                             2725                                1145
Po roku 68:               2252                             2710                                1104
Po roku 69:               2229                             2694                                1073
Po roku 70:               2193                             2681                                1041
Po roku 71:               2162                             2667                                991
Po roku 72:               2142                             2646                                962
Po roku 73:               2114                             2625                                923
Po roku 74:               2081                             2612                                892
Po roku 75:               2049                             2601                                863
Po roku 76:               2024                             2577                                836
Po roku 77:               1989                             2567                                798
Po roku 78:               1978                             2553                                782
Po roku 79:               1952                             2537                                752
Po roku 80:               1928                             2515                                725
Po roku 81:               1909                             2492                                695
Po roku 82:               1887                             2480                                681
Po roku 83:               1866                             2462                                660
Po roku 84:               1837                             2454                                643
Po roku 85:               1814                             2432                                623
Po roku 86:               1782                             2418                                598
Po roku 87:               1764                             2404                                580
Po roku 88:               1739                             2390                                557
Po roku 89:               1711                             2373                                529
Po roku 90:               1695                             2356                                519
Po roku 91:               1673                             2334                                504
Po roku 92:               1645                             2312                                489
Po roku 93:               1626                             2294                                476
Po roku 94:               1608                             2278                                458
Po roku 95:               1593                             2260                                442
Po roku 96:               1567                             2243                                418
Po roku 97:               1544                             2220                                406
Po roku 98:               1524                             2198                                392
Po roku 99:               1511                             2183                                381
Po roku 100:               1490                             2164                                371
Po roku 101:               1474                             2145                                362
Po roku 102:               1459                             2126                                351
Po roku 103:               1444                             2111                                340
Po roku 104:               1424                             2090                                328
Po roku 105:               1410                             2072                                318
Po roku 106:               1394                             2049                                309
Po roku 107:               1379                             2035                                302
Po roku 108:               1368                             2026                                292
Po roku 109:               1352                             2006                                280
Po roku 110:               1335                             1991                                273
Po roku 111:               1322                             1971                                270
Po roku 112:               1306                             1948                                265
Po roku 113:               1293                             1935                                257
Po roku 114:               1282                             1923                                253
Po roku 115:               1270                             1913                                240
Po roku 116:               1262                             1896                                231
Po roku 117:               1241                             1873                                226
Po roku 118:               1226                             1853                                217
Po roku 119:               1214                             1840                                212
Po roku 120:               1201                             1821                                208
Po roku 121:               1186                             1801                                201
Po roku 122:               1172                             1792                                198
Po roku 123:               1168                             1772                                193
Po roku 124:               1158                             1764                                185
Po roku 125:               1147                             1750                                182
Po roku 126:               1145                             1740                                176
Po roku 127:               1134                             1728                                174
Po roku 128:               1122                             1712                                169
Po roku 129:               1108                             1700                                165
Po roku 130:               1104                             1693                                160
Po roku 131:               1094                             1682                                153
Po roku 132:               1083                             1667                                149
Po roku 133:               1077                             1658                                145
Po roku 134:               1068                             1647                                144
Po roku 135:               1061                             1634                                141
Po roku 136:               1054                             1625                                137
Po roku 137:               1040                             1614                                132
Po roku 138:               1031                             1593                                128
Po roku 139:               1022                             1585                                124
Po roku 140:               1014                             1576                                122
Po roku 141:               1003                             1567                                119
Po roku 142:               995                             1554                                117
Po roku 143:               986                             1541                                111
Po roku 144:               978                             1536                                108
Po roku 145:               971                             1525                                107
Po roku 146:               963                             1508                                105
Po roku 147:               955                             1500                                103
Po roku 148:               948                             1493                                100
Po roku 149:               943                             1486                                98
Po roku 150:               939                             1478                                97
Po roku 151:               927                             1468                                96
Po roku 152:               921                             1462                                95
Po roku 153:               918                             1456                                94
Po roku 154:               907                             1445                                92
Po roku 155:               898                             1440                                91
Po roku 156:               892                             1434                                89
Po roku 157:               883                             1426                                88
Po roku 158:               875                             1416                                86
Po roku 159:               869                             1404                                84
Po roku 160:               862                             1395                                82
Po roku 161:               855                             1386                                79
Po roku 162:               849                             1381                                76
Po roku 163:               838                             1371                                74
Po roku 164:               832                             1366                                71
Po roku 165:               824                             1352                                68
Po roku 166:               816                             1349                                67
Po roku 167:               810                             1346                                67
Po roku 168:               803                             1336                                65
Po roku 169:               796                             1331                                63
Po roku 170:               789                             1322                                59
Po roku 171:               783                             1311                                59
Po roku 172:               775                             1301                                59
Po roku 173:               771                             1300                                58
Po roku 174:               766                             1294                                55
Po roku 175:               762                             1291                                55
Po roku 176:               756                             1285                                55
Po roku 177:               751                             1275                                54
Po roku 178:               745                             1265                                53
Po roku 179:               739                             1260                                51
Po roku 180:               733                             1251                                47
Po roku 181:               728                             1242                                47
Po roku 182:               724                             1234                                45
Po roku 183:               717                             1225                                44
Po roku 184:               709                             1216                                43
Po roku 185:               704                             1210                                42
Po roku 186:               698                             1204                                42
Po roku 187:               691                             1197                                42
Po roku 188:               685                             1188                                41
Po roku 189:               679                             1179                                39
Po roku 190:               678                             1176                                38
Po roku 191:               673                             1166                                38
Po roku 192:               670                             1157                                38
Po roku 193:               663                             1149                                37
Po roku 194:               657                             1142                                37
Po roku 195:               652                             1137                                37
Po roku 196:               648                             1133                                37
Po roku 197:               640                             1126                                35
Po roku 198:               633                             1119                                35
Po roku 199:               631                             1115                                34
Po roku 200:               623                             1113                                33
Po roku 201:               618                             1109                                32
Po roku 202:               612                             1102                                32
Po roku 203:               604                             1094                                32
Po roku 204:               594                             1090                                31
Po roku 205:               591                             1087                                31
Po roku 206:               587                             1083                                31
Po roku 207:               584                             1080                                31
Po roku 208:               579                             1076                                29
Po roku 209:               573                             1070                                28
Po roku 210:               570                             1065                                28
Po roku 211:               564                             1061                                28
Po roku 212:               564                             1055                                27
Po roku 213:               555                             1051                                25
Po roku 214:               548                             1044                                25
Po roku 215:               546                             1042                                25
Po roku 216:               544                             1037                                25
Po roku 217:               542                             1030                                24
Po roku 218:               536                             1024                                24
Po roku 219:               532                             1016                                23
Po roku 220:               528                             1014                                23
